# Workflow System (S04) - 会計上見積 3階層レビュー承認WF
# Control: FCRP-003
# Export: 2026-04-20 11:00:00 JST

四半期,見積種別,WF番号,経理部課長作成日,作成者,作成者社員番号,経理部長レビュー日,経理部長,経理部長社員番号,CFOレビュー日,CFO,CFO社員番号,監査等委員会承認日,監査等委員長,監査等委員長社員番号,ステータス
Q1,貸倒引当金,WF-EST-2025-001,2025-07-05,高橋 美咲 (ACC002),E0012,2025-07-10,佐藤 一郎 (ACC001),E0011,2025-07-15,渡辺 正博 (CFO001),E0002,2025-07-25,吉川 博 (AUD001),E0081,承認完了
Q1,賞与引当金,WF-EST-2025-002,2025-07-05,高橋 美咲 (ACC002),E0012,2025-07-10,佐藤 一郎 (ACC001),E0011,2025-07-15,渡辺 正博 (CFO001),E0002,2025-07-25,吉川 博 (AUD001),E0081,承認完了
Q1,税効果会計,WF-EST-2025-003,2025-07-05,高橋 美咲 (ACC002),E0012,2025-07-10,佐藤 一郎 (ACC001),E0011,2025-07-15,渡辺 正博 (CFO001),E0002,2025-07-25,吉川 博 (AUD001),E0081,承認完了
Q1,減損会計,WF-EST-2025-004,2025-07-05,高橋 美咲 (ACC002),E0012,2025-07-10,佐藤 一郎 (ACC001),E0011,2025-07-15,渡辺 正博 (CFO001),E0002,2025-07-25,吉川 博 (AUD001),E0081,承認完了
Q1,資産除去債務,WF-EST-2025-005,2025-07-05,高橋 美咲 (ACC002),E0012,2025-07-10,佐藤 一郎 (ACC001),E0011,2025-07-15,渡辺 正博 (CFO001),E0002,2025-07-25,吉川 博 (AUD001),E0081,承認完了
Q2,貸倒引当金,WF-EST-2025-006,2025-10-05,高橋 美咲 (ACC002),E0012,2025-10-10,佐藤 一郎 (ACC001),E0011,2025-10-15,渡辺 正博 (CFO001),E0002,2025-10-25,吉川 博 (AUD001),E0081,承認完了
Q2,賞与引当金,WF-EST-2025-007,2025-10-05,高橋 美咲 (ACC002),E0012,2025-10-10,佐藤 一郎 (ACC001),E0011,2025-10-15,渡辺 正博 (CFO001),E0002,2025-10-25,吉川 博 (AUD001),E0081,承認完了
Q2,税効果会計,WF-EST-2025-008,2025-10-05,高橋 美咲 (ACC002),E0012,2025-10-10,佐藤 一郎 (ACC001),E0011,2025-10-15,渡辺 正博 (CFO001),E0002,2025-10-25,吉川 博 (AUD001),E0081,承認完了
Q2,減損会計,WF-EST-2025-009,2025-10-05,高橋 美咲 (ACC002),E0012,2025-10-10,佐藤 一郎 (ACC001),E0011,2025-10-15,渡辺 正博 (CFO001),E0002,2025-10-25,吉川 博 (AUD001),E0081,承認完了
Q2,資産除去債務,WF-EST-2025-010,2025-10-05,高橋 美咲 (ACC002),E0012,2025-10-10,佐藤 一郎 (ACC001),E0011,2025-10-15,渡辺 正博 (CFO001),E0002,2025-10-25,吉川 博 (AUD001),E0081,承認完了
Q3,貸倒引当金,WF-EST-2025-011,2026-01-06,高橋 美咲 (ACC002),E0012,2026-01-12,佐藤 一郎 (ACC001),E0011,-,-,-,-,-,-,審議保留(REQ-2026-003)
Q3,賞与引当金,WF-EST-2025-012,2026-01-06,高橋 美咲 (ACC002),E0012,2026-01-12,佐藤 一郎 (ACC001),E0011,2026-01-16,渡辺 正博 (CFO001),E0002,2026-01-26,吉川 博 (AUD001),E0081,承認完了
Q3,税効果会計,WF-EST-2025-013,2026-01-06,高橋 美咲 (ACC002),E0012,2026-01-12,佐藤 一郎 (ACC001),E0011,2026-01-16,渡辺 正博 (CFO001),E0002,2026-01-26,吉川 博 (AUD001),E0081,承認完了
Q3,減損会計,WF-EST-2025-014,2026-01-06,高橋 美咲 (ACC002),E0012,2026-01-12,佐藤 一郎 (ACC001),E0011,2026-01-16,渡辺 正博 (CFO001),E0002,2026-01-26,吉川 博 (AUD001),E0081,承認完了
Q3,資産除去債務,WF-EST-2025-015,2026-01-06,高橋 美咲 (ACC002),E0012,2026-01-12,佐藤 一郎 (ACC001),E0011,2026-01-16,渡辺 正博 (CFO001),E0002,2026-01-26,吉川 博 (AUD001),E0081,承認完了
Q4,貸倒引当金,WF-EST-2025-016,2026-04-06,高橋 美咲 (ACC002),E0012,2026-04-12,佐藤 一郎 (ACC001),E0011,-,-,-,-,-,-,審議保留(REQ-2026-003)
Q4,賞与引当金,WF-EST-2025-017,2026-04-06,高橋 美咲 (ACC002),E0012,2026-04-12,佐藤 一郎 (ACC001),E0011,2026-04-16,渡辺 正博 (CFO001),E0002,2026-04-28,吉川 博 (AUD001),E0081,承認完了
Q4,税効果会計,WF-EST-2025-018,2026-04-06,高橋 美咲 (ACC002),E0012,2026-04-12,佐藤 一郎 (ACC001),E0011,2026-04-16,渡辺 正博 (CFO001),E0002,2026-04-28,吉川 博 (AUD001),E0081,承認完了
Q4,減損会計,WF-EST-2025-019,2026-04-06,高橋 美咲 (ACC002),E0012,2026-04-12,佐藤 一郎 (ACC001),E0011,2026-04-16,渡辺 正博 (CFO001),E0002,2026-04-28,吉川 博 (AUD001),E0081,承認完了
Q4,資産除去債務,WF-EST-2025-020,2026-04-06,高橋 美咲 (ACC002),E0012,2026-04-12,佐藤 一郎 (ACC001),E0011,2026-04-16,渡辺 正博 (CFO001),E0002,2026-04-28,吉川 博 (AUD001),E0081,承認完了

# Records: 20 (5 estimates × 4 quarters, Q3/Q4 貸倒は保留)
