# Workflow System (S04) - 月次決算完了承認WF
# Control: FCRP-001
# Export: 2026-04-20 10:00:00 JST

対象月,WF番号,締め完了日時,経理部課長(起票),締め完了者社員番号,経理部長承認日時,経理部長承認者,承認者社員番号,ステータス
2025-04,WF-MC-2025-001,2025-05-02 17:00:00,高橋 美咲 (ACC002),E0012,2025-05-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-05,WF-MC-2025-002,2025-06-02 17:00:00,高橋 美咲 (ACC002),E0012,2025-06-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-06,WF-MC-2025-003,2025-07-02 17:00:00,高橋 美咲 (ACC002),E0012,2025-07-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-07,WF-MC-2025-004,2025-08-04 17:00:00,高橋 美咲 (ACC002),E0012,2025-08-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-08,WF-MC-2025-005,2025-09-02 17:00:00,高橋 美咲 (ACC002),E0012,2025-09-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-09,WF-MC-2025-006,2025-10-02 17:00:00,高橋 美咲 (ACC002),E0012,2025-10-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-10,WF-MC-2025-007,2025-11-04 17:00:00,高橋 美咲 (ACC002),E0012,2025-11-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-11,WF-MC-2025-008,2025-12-02 17:00:00,高橋 美咲 (ACC002),E0012,2025-12-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2025-12,WF-MC-2025-009,2026-01-05 17:00:00,高橋 美咲 (ACC002),E0012,2026-01-09 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2026-01,WF-MC-2025-010,2026-02-02 17:00:00,高橋 美咲 (ACC002),E0012,2026-02-08 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2026-02,WF-MC-2025-011,2026-03-03 17:00:00,高橋 美咲 (ACC002),E0012,2026-03-09 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了
2026-03,WF-MC-2025-012,2026-04-06 17:00:00,高橋 美咲 (ACC002),E0012,2026-04-13 15:30:00,佐藤 一郎 (ACC001),E0011,承認完了

# Records: 12 months approved
