# SAP Business Workflow / 発注承認履歴 (FY2025 母集団)
# 出力日時: 2026/02/12 15:10:08 JST
# 出力者: IT003 加藤 洋子 (E0053 情シス部アプリチームリーダー)
# 抽出条件: FY2025 期間中の発注承認ワークフロー全件
# レコード数: 42件 (うちPLC-P-002/ITAC-004監査サンプル 25件を含む)

ワークフロー番号,発注番号,起票日時,起票者,金額,承認ルート,承認者,承認日時,最終ステータス,サンプル対象
WF-2025-04414,PO-2025-4340,2025-04-07 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2025-04-07 13:00:00,承認完了,Y
WF-2025-04276,PO-2025-3560,2025-04-15 10:00:00,PUR003 清水 智明,0,担当単独,PUR001 木村 浩二,2025-04-15 13:00:00,承認完了,Y
WF-2025-04253,PO-2025-3430,2025-04-17 10:00:00,PUR003 清水 智明,0,担当単独,PUR001 木村 浩二,2025-04-17 13:00:00,承認完了,Y
WF-2025-04125,PO-2025-2660,2025-05-01 12:34:00,PUR003 清水 智明,62850037,課長→部長→CFO,CFO001 渡辺 正博,2025-05-01 15:34:00,承認完了,
WF-2025-04046,PO-2025-2260,2025-05-09 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2025-05-09 13:00:00,承認完了,Y
WF-2025-04506,PO-2025-4860,2025-06-26 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2025-06-26 13:00:00,承認完了,Y
WF-2025-04368,PO-2025-4080,2025-07-06 10:00:00,PUR003 清水 智明,0,担当単独,CFO001 渡辺 正博,2025-07-06 13:00:00,承認完了,Y
WF-2025-04230,PO-2025-3300,2025-07-17 10:00:00,PUR003 清水 智明,0,担当単独,CFO001 渡辺 正博,2025-07-17 13:00:00,承認完了,Y
WF-2025-04138,PO-2025-2780,2025-08-13 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2025-08-13 13:00:00,承認完了,Y
WF-2025-04069,PO-2025-2390,2025-09-01 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2025-09-01 13:00:00,承認完了,Y
WF-2025-04390,PO-2025-3667,2025-09-01 11:52:00,PUR003 清水 智明,9025977,課長→部長,PUR001 木村 浩二,2025-09-01 13:52:00,承認完了,
WF-2025-04529,PO-2025-0234,2025-09-12 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2025-09-12 13:00:00,承認完了,Y
WF-2025-04552,PO-2025-0789,2025-10-03 10:00:00,PUR003 清水 智明,0,担当単独,PUR004 山田 純一,2025-10-03 13:00:00,承認完了,Y
WF-2025-04299,PO-2025-3690,2025-10-09 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2025-10-09 13:00:00,承認完了,Y
WF-2025-04625,PO-2025-3736,2025-10-14 16:06:00,PUR003 清水 智明,16094341,課長→部長,PUR001 木村 浩二,2025-10-14 22:06:00,承認完了,
WF-2025-04161,PO-2025-2910,2025-10-16 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2025-10-16 13:00:00,承認完了,Y
WF-2025-04879,PO-2025-4792,2025-10-20 15:10:00,PUR003 清水 智明,9673103,課長→部長,PUR001 木村 浩二,2025-10-20 23:10:00,承認完了,
