# SAP S/4HANA - Transaction STMS
# Report:   Transport Management System History
# Export:   2026-02-18 14:00:00 JST
タイムスタンプ,サンプル№,TR番号,TR説明(REL紐づけ),REL番号,対象オブジェクト,移送者(SAP),移送者(社員番号),移送承認者(SAP),移送承認者(社員番号),移送元,移送先,結果
2025-08-07 03:21:10,1,XXXK932469,REL-2025-002:売上レポート機能追加,REL-2025-002,ZSALES_REPORT / ZTBL_SALES_AGG / ZFM_SALES_SUMM,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-12-25 04:37:32,2,XXXK924582,REL-2025-004:購買申請画面の改善,REL-2025-004,ZPUR_REQ_UI / ZTBL_PUR_REQ_EXT / ZFM_PUR_REQ_SUBMIT,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-09-08 03:10:01,3,XXXK948327,REL-2025-006:販売価格マスタ連携IF修正,REL-2025-006,ZPRICE_IF_BATCH / ZFM_VK12_UPD / KONV (table),IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-07-03 02:43:39,4,XXXK965782,REL-2025-008:販売価格マスタ連携IF修正,REL-2025-008,ZPRICE_IF_BATCH / ZFM_VK12_UPD / KONV (table),IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-05-31 02:21:44,5,XXXK963744,REL-2025-010:売上レポート機能追加,REL-2025-010,ZSALES_REPORT / ZTBL_SALES_AGG / ZFM_SALES_SUMM,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-08-08 03:13:00,6,XXXK963589,REL-2025-012:販売価格マスタ連携IF修正,REL-2025-012,ZPRICE_IF_BATCH / ZFM_VK12_UPD / KONV (table),IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2026-01-24 02:31:55,7,XXXK954750,REL-2025-014:標準原価計算バッチ修正,REL-2025-014,ZCOST_CALC_BATCH / ZFM_CK40N_WRAPPER / MBEW,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-08-07 02:43:42,8,XXXK987645,REL-2025-016:セキュリティパッチ適用,REL-2025-016,Note 3452108 / Note 3461234 / RFC basis libs,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2026-03-25 04:03:20,9,XXXK919154,REL-2025-018:バックアップバッチ改善,REL-2025-018,ZBACKUP_JOB / RSBDCSUB / DB13 definitions,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-12-22 05:17:15,10,XXXK937643,REL-2025-020:仕入先マスタ項目拡張,REL-2025-020,LFA1 / LFB1 / ZMM_VENDOR_EXT / ZFM_VENDOR_UPD,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2026-03-10 05:07:34,11,XXXK994651,REL-2025-022:仕入先マスタ項目拡張,REL-2025-022,LFA1 / LFB1 / ZMM_VENDOR_EXT / ZFM_VENDOR_UPD,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-07-24 05:50:19,12,XXXK973426,REL-2025-024:ワークフロー承認ルーティング変更,REL-2025-024,WS20000001 / WS20000015 / ZTBL_WF_ROUTE,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2026-04-05 04:59:28,13,XXXK989971,REL-2025-026:標準原価計算バッチ修正,REL-2025-026,ZCOST_CALC_BATCH / ZFM_CK40N_WRAPPER / MBEW,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-04-26 03:32:04,14,XXXK946691,REL-2025-028:標準原価計算バッチ修正,REL-2025-028,ZCOST_CALC_BATCH / ZFM_CK40N_WRAPPER / MBEW,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-12-09 02:48:20,15,XXXK910509,REL-2025-030:ワークフロー承認ルーティング変更,REL-2025-030,WS20000001 / WS20000015 / ZTBL_WF_ROUTE,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-06-03 05:23:56,16,XXXK943025,REL-2025-032:セキュリティパッチ適用,REL-2025-032,Note 3452108 / Note 3461234 / RFC basis libs,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2026-02-28 02:28:44,17,XXXK957901,REL-2025-034:売上レポート機能追加,REL-2025-034,ZSALES_REPORT / ZTBL_SALES_AGG / ZFM_SALES_SUMM,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2026-03-18 05:20:19,18,XXXK986378,REL-2025-036:売上レポート機能追加,REL-2025-036,ZSALES_REPORT / ZTBL_SALES_AGG / ZFM_SALES_SUMM,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-07-05 04:16:01,19,XXXK944327,REL-2025-038:仕入先マスタ項目拡張,REL-2025-038,LFA1 / LFB1 / ZMM_VENDOR_EXT / ZFM_VENDOR_UPD,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-09-01 02:44:07,20,XXXK984969,REL-2025-040:売上レポート機能追加,REL-2025-040,ZSALES_REPORT / ZTBL_SALES_AGG / ZFM_SALES_SUMM,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-09-04 02:57:48,21,XXXK904491,REL-2025-042:標準原価計算バッチ修正,REL-2025-042,ZCOST_CALC_BATCH / ZFM_CK40N_WRAPPER / MBEW,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-06-22 02:13:54,22,XXXK929257,REL-2025-044:連結仕訳バリデーション強化,REL-2025-044,ZFM_CONSOL_VALIDATE / ZTBL_CONSOL_RULE,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2026-03-30 04:45:01,23,XXXK953690,REL-2025-046:セキュリティパッチ適用,REL-2025-046,Note 3452108 / Note 3461234 / RFC basis libs,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-12-03 03:22:32,24,XXXK983425,REL-2025-048:販売価格マスタ連携IF修正,REL-2025-048,ZPRICE_IF_BATCH / ZFM_VK12_UPD / KONV (table),IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
2025-04-30 04:42:49,25,XXXK937599,REL-2025-050:勘定科目マスタ追加,REL-2025-050,SKA1 / SKB1 / SKAT,IT003 加藤 洋子,E0053,IT001 岡田 宏,E0051,DEV,PRD,成功
# Records: 25 (FY2025 監査25サンプル対応)
