# SAP SU01 - 権限削除申請・実施記録 FY2025
# Export: 2026-04-20 10:30:00 JST

棚卸サイクル,申請日,対象ユーザ,対象ロール,削除理由,削除実施日,実施者(SAP),実施者(社員番号),ステータス
Q1,2025-07-22,U-2024-0226,HR_USER,退職,2025-07-23,IT004 西田 徹,E0054,完了
Q1,2025-07-22,U-2024-0191,PP_SUP,業務変更,2025-07-23,IT004 西田 徹,E0054,完了
Q1,2025-07-22,U-2024-0191,BASIS,退職,2025-07-23,IT004 西田 徹,E0054,完了
Q1,2025-07-22,U-2024-0191,SD_USER,業務変更,2025-07-23,IT004 西田 徹,E0054,完了
Q1,2025-07-22,U-2024-0156,HR_USER,退職,2025-07-23,IT004 西田 徹,E0054,完了
Q2,2025-10-22,U-2024-0142,MM_USER,異動,2025-10-23,IT004 西田 徹,E0054,完了
Q2,2025-10-22,U-2024-0156,HR_USER,退職,2025-10-23,IT004 西田 徹,E0054,完了
Q2,2025-10-22,U-2024-0233,PP_SUP,職務変更,2025-10-23,IT004 西田 徹,E0054,完了
Q2,2025-10-22,U-2024-0107,FI_USER,退職,2025-10-23,IT004 西田 徹,E0054,完了
Q2,2025-10-22,U-2024-0233,SD_USER,業務変更,2025-10-23,IT004 西田 徹,E0054,完了
Q3,2026-01-26,U-2024-0156,PP_SUP,異動,2026-01-27,IT004 西田 徹,E0054,完了
Q3,2026-01-26,U-2024-0240,MM_USER,業務変更,2026-01-27,IT004 西田 徹,E0054,完了
Q4,2026-04-26,U-2024-0156,PP_SUP,異動,2026-04-27,IT004 西田 徹,E0054,完了
Q4,2026-04-26,U-2024-0163,MM_USER,異動,2026-04-27,IT004 西田 徹,E0054,完了
Q4,2026-04-26,U-2024-0205,MM_USER,職務変更,2026-04-27,IT004 西田 徹,E0054,完了
