# Workflow System - User Registration Approval History
# Export:   2026-02-15 09:25:12 JST

タイムスタンプ,ワークフロー番号,サンプル№,申請番号,アクター(氏名SAP_UID),アクター(社員番号),アクション
2025-09-03 09:00:00,WF-IT-2025-0013,1,USER-REG-2025-0001,申請者(所属部門担当),-,起票
2025-09-03 11:00:00,WF-IT-2025-0013,1,USER-REG-2025-0001,田中 太郎 (SLS001),E0021,承認
2025-09-03 13:00:00,WF-IT-2025-0013,1,USER-REG-2025-0001,加藤 洋子 (IT003),E0053,承認
2026-01-14 09:00:00,WF-IT-2025-0026,2,USER-REG-2025-0002,申請者(所属部門担当),-,起票
2026-01-14 11:00:00,WF-IT-2025-0026,2,USER-REG-2025-0002,森 和雄 (MFG001),E0041,承認
2026-01-14 13:00:00,WF-IT-2025-0026,2,USER-REG-2025-0002,加藤 洋子 (IT003),E0053,承認
2025-12-09 09:00:00,WF-IT-2025-0039,3,USER-REG-2025-0003,申請者(所属部門担当),-,起票
2025-12-09 11:00:00,WF-IT-2025-0039,3,USER-REG-2025-0003,木村 浩二 (PUR001),E0031,承認
2025-12-09 13:00:00,WF-IT-2025-0039,3,USER-REG-2025-0003,加藤 洋子 (IT003),E0053,承認
2025-08-01 09:00:00,WF-IT-2025-0052,4,USER-REG-2025-0004,申請者(所属部門担当),-,起票
2025-08-01 11:00:00,WF-IT-2025-0052,4,USER-REG-2025-0004,森 和雄 (MFG001),E0041,承認
2025-08-01 13:00:00,WF-IT-2025-0052,4,USER-REG-2025-0004,加藤 洋子 (IT003),E0053,承認
2025-06-08 09:00:00,WF-IT-2025-0065,5,USER-REG-2025-0005,申請者(所属部門担当),-,起票
2025-06-08 11:00:00,WF-IT-2025-0065,5,USER-REG-2025-0005,佐藤 一郎 (ACC001),E0011,承認
2025-06-08 13:00:00,WF-IT-2025-0065,5,USER-REG-2025-0005,加藤 洋子 (IT003),E0053,承認
2025-08-13 09:00:00,WF-IT-2025-0078,6,USER-REG-2025-0006,申請者(所属部門担当),-,起票
2025-08-13 11:00:00,WF-IT-2025-0078,6,USER-REG-2025-0006,森 和雄 (MFG001),E0041,承認
2025-08-13 13:00:00,WF-IT-2025-0078,6,USER-REG-2025-0006,加藤 洋子 (IT003),E0053,承認
2025-09-16 09:00:00,WF-IT-2025-0091,7,USER-REG-2025-0007,申請者(所属部門担当),-,起票
2025-09-16 11:00:00,WF-IT-2025-0091,7,USER-REG-2025-0007,佐藤 一郎 (ACC001),E0011,承認
2025-09-16 13:00:00,WF-IT-2025-0091,7,USER-REG-2025-0007,加藤 洋子 (IT003),E0053,承認
2025-04-16 09:00:00,WF-IT-2025-0104,8,USER-REG-2025-0008,申請者(所属部門担当),-,起票
2025-04-16 11:00:00,WF-IT-2025-0104,8,USER-REG-2025-0008,田中 太郎 (SLS001),E0021,承認
2025-04-16 13:00:00,WF-IT-2025-0104,8,USER-REG-2025-0008,加藤 洋子 (IT003),E0053,承認
2026-02-17 09:00:00,WF-IT-2025-0117,9,USER-REG-2025-0009,申請者(所属部門担当),-,起票
2026-02-17 11:00:00,WF-IT-2025-0117,9,USER-REG-2025-0009,森 和雄 (MFG001),E0041,承認
2026-02-17 13:00:00,WF-IT-2025-0117,9,USER-REG-2025-0009,加藤 洋子 (IT003),E0053,承認
2025-05-20 09:00:00,WF-IT-2025-0130,10,USER-REG-2025-0010,申請者(所属部門担当),-,起票
2025-05-20 11:00:00,WF-IT-2025-0130,10,USER-REG-2025-0010,森 和雄 (MFG001),E0041,承認
2025-05-20 13:00:00,WF-IT-2025-0130,10,USER-REG-2025-0010,加藤 洋子 (IT003),E0053,承認
2025-04-04 09:00:00,WF-IT-2025-0143,11,USER-REG-2025-0011,申請者(所属部門担当),-,起票
2025-04-04 11:00:00,WF-IT-2025-0143,11,USER-REG-2025-0011,森 和雄 (MFG001),E0041,承認
2025-04-04 13:00:00,WF-IT-2025-0143,11,USER-REG-2025-0011,加藤 洋子 (IT003),E0053,承認
2025-09-03 09:00:00,WF-IT-2025-0156,12,USER-REG-2025-0012,申請者(所属部門担当),-,起票
2025-09-03 11:00:00,WF-IT-2025-0156,12,USER-REG-2025-0012,田中 太郎 (SLS001),E0021,承認
2025-09-03 13:00:00,WF-IT-2025-0156,12,USER-REG-2025-0012,加藤 洋子 (IT003),E0053,承認
2025-09-09 09:00:00,WF-IT-2025-0169,13,USER-REG-2025-0013,申請者(所属部門担当),-,起票
2025-09-09 11:00:00,WF-IT-2025-0169,13,USER-REG-2025-0013,田中 太郎 (SLS001),E0021,承認
2025-09-09 13:00:00,WF-IT-2025-0169,13,USER-REG-2025-0013,加藤 洋子 (IT003),E0053,承認
2025-12-06 09:00:00,WF-IT-2025-0182,14,USER-REG-2025-0014,申請者(所属部門担当),-,起票
2025-12-06 11:00:00,WF-IT-2025-0182,14,USER-REG-2025-0014,岡田 宏 (IT001),E0051,承認
2025-12-06 13:00:00,WF-IT-2025-0182,14,USER-REG-2025-0014,加藤 洋子 (IT003),E0053,承認
2026-02-11 09:00:00,WF-IT-2025-0195,15,USER-REG-2025-0015,申請者(所属部門担当),-,起票
2026-02-11 11:00:00,WF-IT-2025-0195,15,USER-REG-2025-0015,木村 浩二 (PUR001),E0031,承認
2026-02-11 13:00:00,WF-IT-2025-0195,15,USER-REG-2025-0015,加藤 洋子 (IT003),E0053,承認
2025-11-04 09:00:00,WF-IT-2025-0208,16,USER-REG-2025-0016,申請者(所属部門担当),-,起票
2025-11-04 11:00:00,WF-IT-2025-0208,16,USER-REG-2025-0016,森 和雄 (MFG001),E0041,承認
2025-11-04 13:00:00,WF-IT-2025-0208,16,USER-REG-2025-0016,加藤 洋子 (IT003),E0053,承認
2025-11-25 09:00:00,WF-IT-2025-0221,17,USER-REG-2025-0017,申請者(所属部門担当),-,起票
2025-11-25 11:00:00,WF-IT-2025-0221,17,USER-REG-2025-0017,佐藤 一郎 (ACC001),E0011,承認
2025-11-25 13:00:00,WF-IT-2025-0221,17,USER-REG-2025-0017,加藤 洋子 (IT003),E0053,承認
2025-11-02 09:00:00,WF-IT-2025-0234,18,USER-REG-2025-0018,申請者(所属部門担当),-,起票
2025-11-02 11:00:00,WF-IT-2025-0234,18,USER-REG-2025-0018,森 和雄 (MFG001),E0041,承認
2025-11-02 13:00:00,WF-IT-2025-0234,18,USER-REG-2025-0018,加藤 洋子 (IT003),E0053,承認
2025-10-19 09:00:00,WF-IT-2025-0247,19,USER-REG-2025-0019,申請者(所属部門担当),-,起票
2025-10-19 11:00:00,WF-IT-2025-0247,19,USER-REG-2025-0019,岡田 宏 (IT001),E0051,承認
2025-10-19 13:00:00,WF-IT-2025-0247,19,USER-REG-2025-0019,加藤 洋子 (IT003),E0053,承認
2026-01-07 09:00:00,WF-IT-2025-0260,20,USER-REG-2025-0020,申請者(所属部門担当),-,起票
2026-01-07 11:00:00,WF-IT-2025-0260,20,USER-REG-2025-0020,木村 浩二 (PUR001),E0031,承認
2026-01-07 13:00:00,WF-IT-2025-0260,20,USER-REG-2025-0020,加藤 洋子 (IT003),E0053,承認
2025-07-20 09:00:00,WF-IT-2025-0273,21,USER-REG-2025-0021,申請者(所属部門担当),-,起票
2025-07-20 11:00:00,WF-IT-2025-0273,21,USER-REG-2025-0021,森 和雄 (MFG001),E0041,承認
2025-07-20 13:00:00,WF-IT-2025-0273,21,USER-REG-2025-0021,加藤 洋子 (IT003),E0053,承認
2026-03-13 09:00:00,WF-IT-2025-0286,22,USER-REG-2025-0022,申請者(所属部門担当),-,起票
2026-03-13 11:00:00,WF-IT-2025-0286,22,USER-REG-2025-0022,森 和雄 (MFG001),E0041,承認
2026-03-13 13:00:00,WF-IT-2025-0286,22,USER-REG-2025-0022,加藤 洋子 (IT003),E0053,承認
2025-05-11 09:00:00,WF-IT-2025-0299,23,USER-REG-2025-0023,申請者(所属部門担当),-,起票
2025-05-11 11:00:00,WF-IT-2025-0299,23,USER-REG-2025-0023,佐藤 一郎 (ACC001),E0011,承認
2025-05-11 13:00:00,WF-IT-2025-0299,23,USER-REG-2025-0023,加藤 洋子 (IT003),E0053,承認
2025-09-04 09:00:00,WF-IT-2025-0312,24,USER-REG-2025-0024,申請者(所属部門担当),-,起票
2025-09-04 11:00:00,WF-IT-2025-0312,24,USER-REG-2025-0024,佐藤 一郎 (ACC001),E0011,承認
2025-09-04 13:00:00,WF-IT-2025-0312,24,USER-REG-2025-0024,加藤 洋子 (IT003),E0053,承認
2025-08-04 09:00:00,WF-IT-2025-0325,25,USER-REG-2025-0025,申請者(所属部門担当),-,起票
2025-08-04 11:00:00,WF-IT-2025-0325,25,USER-REG-2025-0025,森 和雄 (MFG001),E0041,承認
2025-08-04 13:00:00,WF-IT-2025-0325,25,USER-REG-2025-0025,加藤 洋子 (IT003),E0053,承認

# Records: 75
