# SAP S/4HANA - Transaction F110
# Report:   Automatic Payment Program Execution Log
# Period:   FY2025 (12 months exhaustive)
# Export:   2026-04-10 08:00:00 JST

支払実行日,月次№,ジョブ番号,総支払額(円),支払先件数,実行ユーザ,実行結果
2025-04-30,1,JOB_FB_202504,324948751,18,小川 由紀 (ACC005),正常終了
2025-05-31,2,JOB_FB_202505,505493768,19,小川 由紀 (ACC005),正常終了
2025-06-30,3,JOB_FB_202506,316950772,24,小川 由紀 (ACC005),正常終了
2025-07-31,4,JOB_FB_202507,656711592,18,小川 由紀 (ACC005),正常終了
2025-08-31,5,JOB_FB_202508,450684982,21,小川 由紀 (ACC005),正常終了
2025-09-30,6,JOB_FB_202509,612624118,18,小川 由紀 (ACC005),正常終了
2025-10-31,7,JOB_FB_202510,527438821,24,小川 由紀 (ACC005),正常終了
2025-11-30,8,JOB_FB_202511,468200761,18,小川 由紀 (ACC005),正常終了
2025-12-31,9,JOB_FB_202512,378671070,23,小川 由紀 (ACC005),正常終了
2026-01-31,10,JOB_FB_202601,756281889,22,小川 由紀 (ACC005),正常終了
2026-02-28,11,JOB_FB_202602,371963965,20,小川 由紀 (ACC005),正常終了
2026-03-31,12,JOB_FB_202603,619310816,23,小川 由紀 (ACC005),正常終了

# Records: 12 months (exhaustive)
