# SAP S/4HANA - Transaction ME5A
# Report:   Purchase Requisition List
# Export:   2026-02-12 09:45:22 JST
# Filter:   25 samples under audit IA-REQ-2026-P001

サンプル№,依頼番号,依頼日,起案部門,起案者,品名,数量,予算額,予算コード,承認日,承認ステータス,ステータス
1,PR-2025-0115,2025-04-02,情報システム部,岡田 宏 (IT001),切削油 ML-2,33,7501018,BGT-情報-20,2025-04-03,部門長承認済,NEW
2,PR-2025-0130,2025-04-25,製造本部,池田 昌夫 (MFG002),安全手袋 1000組,44,54978,BGT-製造-05,2025-04-26,部門長承認済,NEW
3,PR-2025-0145,2025-04-26,製造本部,森 和雄 (MFG001),特殊合金材 A種 100kg,35,5645340,BGT-製造-18,2025-04-26,部門長承認済,NEW
4,PR-2025-0160,2025-05-07,情報システム部,岡田 宏 (IT001),安全手袋 1000組,3,73401,BGT-情報-05,2025-05-09,部門長承認済,NEW
5,PR-2025-0175,2025-05-25,製造本部,森 和雄 (MFG001),精密測定器具,13,743110,BGT-製造-05,2025-05-25,部門長承認済,NEW
6,PR-2025-0190,2025-06-03,品質保証部,品証部長,SUS304鋼材 φ20×1000mm,24,166300,BGT-品質-14,2025-06-04,部門長承認済,NEW
7,PR-2025-0205,2025-06-28,製造本部,池田 昌夫 (MFG002),切削油 ML-2,3,541365,BGT-製造-20,2025-06-30,部門長承認済,NEW
8,PR-2025-0220,2025-07-13,製造本部,森 和雄 (MFG001),冷却液 20L,2,1388189,BGT-製造-15,2025-07-15,部門長承認済,NEW
9,PR-2025-0235,2025-07-18,製造本部,森 和雄 (MFG001),冷却液 20L,42,217954,BGT-製造-09,2025-07-20,部門長承認済,NEW
10,PR-2025-0250,2025-08-06,技術本部,山田 技術長,切削油 ML-2,50,267158,BGT-技術-04,2025-08-07,部門長承認済,NEW
11,PR-2025-0265,2025-08-26,情報システム部,岡田 宏 (IT001),特殊合金材 A種 100kg,5,1468471,BGT-情報-20,2025-08-26,部門長承認済,NEW
12,PR-2025-0280,2025-09-14,技術本部,山田 技術長,冷却液 20L,17,188562,BGT-技術-11,2025-09-15,部門長承認済,NEW
13,PR-2025-0295,2025-09-24,情報システム部,岡田 宏 (IT001),精密測定器具,46,6214687,BGT-情報-07,2025-09-25,部門長承認済,NEW
14,PR-2025-0310,2025-10-12,製造本部,森 和雄 (MFG001),プレス金型用材料,5,3058527,BGT-製造-07,2025-10-14,部門長承認済,NEW
15,PR-2025-0325,2025-10-19,技術本部,山田 技術長,特殊合金材 A種 100kg,7,195953,BGT-技術-03,2025-10-19,部門長承認済,NEW
16,PR-2025-0340,2025-11-21,製造本部,池田 昌夫 (MFG002),冷却液 20L,26,3686490,BGT-製造-17,2025-11-21,部門長承認済,NEW
17,PR-2025-0355,2025-11-25,品質保証部,品証部長,切削油 ML-2,22,279313,BGT-品質-17,2025-11-25,部門長承認済,NEW
18,PR-2025-0370,2025-12-13,品質保証部,品証部長,特殊合金材 A種 100kg,29,59233,BGT-品質-08,2025-12-15,部門長承認済,NEW
19,PR-2025-0385,2025-12-25,製造本部,池田 昌夫 (MFG002),冷却液 20L,10,7438402,BGT-製造-05,2025-12-26,部門長承認済,NEW
20,PR-2025-0400,2026-01-07,品質保証部,品証部長,ベアリング部品一式,29,4350683,BGT-品質-03,2026-01-09,部門長承認済,NEW
21,PR-2025-0415,2026-01-19,情報システム部,岡田 宏 (IT001),冷却液 20L,2,838997,BGT-情報-06,2026-01-21,部門長承認済,NEW
22,PR-2025-0430,2026-02-02,情報システム部,岡田 宏 (IT001),切削油 ML-2,7,1291189,BGT-情報-17,2026-02-03,部門長承認済,NEW
23,PR-2025-0445,2026-02-20,品質保証部,品証部長,冷却液 20L,31,9507408,BGT-品質-06,2026-02-21,部門長承認済,NEW
24,PR-2025-0460,2026-03-01,品質保証部,品証部長,ベアリング部品一式,2,91315,BGT-品質-09,2026-03-02,部門長承認済,NEW
25,PR-2025-0475,2026-03-24,情報システム部,岡田 宏 (IT001),冷却液 20L,20,236094,BGT-情報-20,2026-03-24,部門長承認済,NEW

# Records: 25
