# SAP S/4HANA - Transaction XK01 (Create) / XK02 (Change)
# Report:   Vendor Master Change History (Table CDHDR/CDPOS)
# Export:   2026-02-13 14:15:08 JST

変更タイムスタンプ,サンプル№,申請番号,仕入先コード,仕入先名,変更種別,申請者,承認者
2025-04-02 13:00:00,1,VEND-CHG-2025-0001,V-20009,サンプル仕入先I社,住所変更,PUR003 清水 智明,PUR001 木村 浩二
2025-04-07 10:00:00,2,VEND-CHG-2025-0002,V-20008,サンプル仕入先H社,支払条件変更,PUR003 清水 智明,PUR001 木村 浩二
2025-04-15 15:00:00,3,VEND-CHG-2025-0003,V-20023,サンプル仕入先R社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2025-05-11 16:00:00,4,VEND-CHG-2025-0004,V-20010,サンプル仕入先J社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2025-05-16 12:00:00,5,VEND-CHG-2025-0005,V-20011,サンプル仕入先K社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2025-06-06 11:00:00,6,VEND-CHG-2025-0006,V-20006,サンプル仕入先F社,新規登録,PUR003 清水 智明,PUR001 木村 浩二
2025-06-09 15:00:00,7,VEND-CHG-2025-0007,V-20005,サンプル仕入先E社,新規登録,PUR003 清水 智明,PUR001 木村 浩二
2025-07-03 10:00:00,8,VEND-CHG-2025-0008,V-20021,サンプル仕入先P社,支払条件変更,PUR003 清水 智明,PUR001 木村 浩二
2025-07-06 14:00:00,9,VEND-CHG-2025-0009,V-20008,サンプル仕入先H社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2025-08-03 16:00:00,10,VEND-CHG-2025-0010,V-20004,サンプル仕入先D社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2025-08-24 15:00:00,11,VEND-CHG-2025-0011,V-20007,サンプル仕入先G社,住所変更,PUR003 清水 智明,PUR001 木村 浩二
2025-09-03 14:00:00,12,VEND-CHG-2025-0012,V-20005,サンプル仕入先E社,住所変更,PUR003 清水 智明,PUR001 木村 浩二
2025-09-24 14:00:00,13,VEND-CHG-2025-0013,V-20015,サンプル仕入先O社,新規登録,PUR003 清水 智明,PUR001 木村 浩二
2025-10-20 14:00:00,14,VEND-CHG-2025-0014,V-20009,サンプル仕入先I社,支払条件変更,PUR003 清水 智明,PUR001 木村 浩二
2025-10-23 12:00:00,15,VEND-CHG-2025-0015,V-20012,サンプル仕入先L社,担当者変更,PUR003 清水 智明,PUR001 木村 浩二
2025-11-06 10:00:00,16,VEND-CHG-2025-0016,V-20024,サンプル仕入先S社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2025-11-26 11:00:00,17,VEND-CHG-2025-0017,V-20006,サンプル仕入先F社,新規登録,PUR003 清水 智明,PUR001 木村 浩二
2025-12-02 13:00:00,18,VEND-CHG-2025-0018,V-20022,サンプル仕入先Q社,住所変更,PUR003 清水 智明,PUR001 木村 浩二
2025-12-19 15:00:00,19,VEND-CHG-2025-0019,V-20023,サンプル仕入先R社,住所変更,PUR003 清水 智明,PUR001 木村 浩二
2026-01-04 13:00:00,20,VEND-CHG-2025-0020,V-20012,サンプル仕入先L社,住所変更,PUR003 清水 智明,PUR001 木村 浩二
2026-01-27 12:00:00,21,VEND-CHG-2025-0021,V-20006,サンプル仕入先F社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2026-02-05 11:00:00,22,VEND-CHG-2025-0022,V-20004,サンプル仕入先D社,担当者変更,PUR003 清水 智明,PUR001 木村 浩二
2026-02-15 12:00:00,23,VEND-CHG-2025-0023,V-20022,サンプル仕入先Q社,住所変更,PUR003 清水 智明,PUR001 木村 浩二
2026-03-07 16:00:00,24,VEND-CHG-2025-0024,V-20002,サンプル仕入先B社,銀行口座変更,PUR003 清水 智明,PUR001 木村 浩二
2026-03-27 16:00:00,25,VEND-CHG-2025-0025,V-20025,サンプル仕入先T社,担当者変更,PUR003 清水 智明,PUR001 木村 浩二

# Records: 25
