# 全銀フォーマット FB入金データ（25件抽出版）
# Export:   2026-02-11 10:35:08 JST
# Filter:   Bank transactions matching 25 sample receipts

入金日,口座番号,入金額,振込依頼人名,摘要,取扱銀行
20250412,1234567,38904000,SAMPLE KOKYAKU 03,INV-202503-0052,B銀行 支店X
20250416,1234567,10006000,SAMPLE KOKYAKU 24,INV-202503-0049,B銀行 支店X
20250423,1234567,17042000,SAMPLE KOKYAKU 22,INV-202503-0074,A銀行 本店
20250516,1234567,20686000,SAMPLE KOKYAKU 21,INV-202504-0040,B銀行 支店X
20250517,1234567,15225000,SAMPLE KOKYAKU 03,INV-202504-0033,B銀行 支店X
20250602,1234567,5476000,SAMPLE KOKYAKU 25,INV-202505-0056,C銀行 本店
20250626,1234567,12711000,SAMPLE KOKYAKU 18,INV-202505-0097,B銀行 支店X
20250701,1234567,20020000,SAMPLE KOKYAKU 23,INV-202506-0007,D銀行 本店
20250713,1234567,26378000,SAMPLE KOKYAKU 01,INV-202506-0036,D銀行 本店
20250801,1234567,39625000,SAMPLE KOKYAKU 18,INV-202507-0052,B銀行 支店X
20250815,1234567,38494000,SAMPLE KOKYAKU 06,INV-202507-0064,C銀行 本店
20250913,1234567,18220000,SAMPLE KOKYAKU 14,INV-202508-0047,D銀行 本店
20250922,1234567,33183000,SAMPLE KOKYAKU 15,INV-202508-0144,A銀行 本店
20251020,1234567,34747000,SAMPLE KOKYAKU 15,INV-202509-0010,D銀行 本店
20251024,1234567,16331000,SAMPLE KOKYAKU 25,INV-202509-0148,D銀行 本店
20251107,1234567,28824000,SAMPLE KOKYAKU 02,INV-202510-0122,C銀行 本店
20251108,1234567,22990000,SAMPLE KOKYAKU 23,INV-202510-0130,C銀行 本店
20251213,1234567,21586000,SAMPLE KOKYAKU 13,INV-202511-0017,B銀行 支店X
20251223,1234567,39252000,SAMPLE KOKYAKU 14,INV-202511-0031,D銀行 本店
20260107,1234567,27307000,SAMPLE KOKYAKU 16,INV-202612-0062,C銀行 本店
20260120,1234567,10566000,SAMPLE KOKYAKU 14,INV-202612-0118,A銀行 本店
20260211,1234567,31628000,SAMPLE KOKYAKU 04,INV-202601-0041,C銀行 本店
20260228,1234567,18021000,SAMPLE KOKYAKU 23,INV-202601-0057,A銀行 本店
20260301,1234567,5094000,SAMPLE KOKYAKU 05,INV-202602-0128,B銀行 支店X
20260308,1234567,9373000,SAMPLE KOKYAKU 21,INV-202602-0033,A銀行 本店

# Records: 25
